school;13;6%
schools;9;4%
the;8;3%
are;8;3%
to;7;3%
of;5;2%
from;5;2%
high;4;1%
go;4;1%
They;4;1%
The;4;1%
through;3;1%
state;3;1%
private;3;1%
in;3;1%
grades;3;1%
education;3;1%
and;3;1%
ages;3;1%
which;2;0%
their;2;0%
that;2;0%
subjects;2;0%
public;2;0%
percent;2;0%
or;2;0%
often;2;0%
middle;2;0%
kindergarten;2;0%
is;2;0%
include;2;0%
for;2;0%
elementary;2;0%
children;2;0%
all;2;0%
About;2;0%
years;1;0%
year;1;0%
when;1;0%
vocational;1;0%
usually;1;0%
types;1;0%
they;1;0%
these;1;0%
there;1;0%
teams;1;0%
system;1;0%
studied;1;0%
students;1;0%
sports;1;0%
spent;1;0%
specialized;1;0%
some;1;0%
similar;1;0%
runs;1;0%
run;1;0%
responsibility;1;0%
religious;1;0%
pay;1;0%
parents;1;0%
other;1;0%
on;1;0%
old;1;0%
offers;1;0%
not;1;0%
non;1;0%
newspaper;1;0%
national;1;0%
must;1;0%
money;1;0%
mechanics;1;0%
mainly;1;0%
local;1;0%
little;1;0%
like;1;0%
level;1;0%
involved;1;0%
half;1;0%
governments;1;0%
government;1;0%
general;1;0%
free;1;0%
five;1;0%
example;1;0%
emphasize;1;0%
educational;1;0%
drama;1;0%
differs;1;0%
differ;1;0%
clubs;1;0%
by;1;0%
but;1;0%
business;1;0%
auto;1;0%
attend;1;0%
amount;1;0%
also;1;0%
activities;1;0%
academic;1;0%
a;1;0%
United;1;0%
US;1;0%
There;1;0%
States;1;0%
September;1;0%
Most;1;0%
June;1;0%
In;1;0%
I;1;0%
High;1;0%
Children;1;0%
Catholics;1;0%
At;1;0%
